Date,Open,High,Low,Close,Adj Close,Volume
2017-01-09,11.553333,11.7,11.53,11.641667,11.617637,16543200
2017-01-10,11.636667,11.818333,11.575833,11.708333,11.684163,16584000
2017-01-11,11.716667,11.806667,11.545,11.798333,11.773978,23526000
2017-01-12,11.681667,11.773333,11.421667,11.738333,11.714102,20129400
2017-01-13,11.776667,11.93,11.773333,11.873333,11.848824,14653200
2017-01-17,11.766667,11.833333,11.66,11.761667,11.737388,13882800
2017-01-18,11.816667,11.865,11.721667,11.841667,11.817224,12332400
2017-01-19,11.875,12.006667,11.743333,11.81,11.785621,14932800
2017-01-20,11.966667,12.058333,11.8,11.886667,11.86213,14211600
2017-01-23,11.85,11.966667,11.695,11.913333,11.888741,13812600
2017-01-24,11.978333,12.213333,11.928333,12.161667,12.136562,12922800
2017-01-25,12.381667,12.535,12.355,12.516667,12.490829,14037000
2017-01-26,12.573333,12.643333,12.501667,12.568333,12.542388,12714000
2017-01-27,12.633333,12.67,12.513333,12.628333,12.602264,8312400
2017-01-30,12.495,12.501667,12.13,12.341667,12.316192,18760800
2017-01-31,12.215,12.273333,12.048333,12.273333,12.247997,14904000
2017-02-01,12.513333,12.586667,12.346667,12.506667,12.480849,18127800
2017-02-02,12.443333,12.591667,12.34,12.475,12.449248,14473800
2017-02-03,12.525,12.625,12.486667,12.583333,12.557358,12048000
2017-02-06,12.521667,12.636667,12.488333,12.63,12.603929,10426800
2017-02-07,12.696667,12.848333,12.676667,12.76,12.73366,11658600
2017-02-08,12.715,12.881667,12.645,12.831667,12.805179,9241800
2017-02-09,12.866667,13.055,12.846667,12.965,12.938237,12881400
2017-02-10,13.055,13.15,12.988333,13.093333,13.066305,11968200
2017-02-13,13.216667,13.371667,13.196667,13.323333,13.29583,10747200
2017-02-14,13.331667,13.453333,13.206667,13.448333,13.420572,15666000
2017-02-15,13.431667,13.706667,13.4,13.68,13.651761,18391200
2017-02-16,13.713333,13.795,13.57,13.668333,13.640118,15987600
2017-02-17,13.611667,13.85,13.603333,13.84,13.811431,12901800
2017-02-21,13.936667,14.08,13.905,14.06,14.030977,16682400
2017-02-22,14.016667,14.096667,13.943333,14.061667,14.03264,10764000
2017-02-23,14.123333,14.125,13.736667,13.91,13.881286,15669000
2017-02-24,13.71,13.985,13.7,13.985,13.956131,12682800
2017-02-27,13.911667,14.035,13.835,14.026667,13.997712,13109400
2017-02-28,14.028333,14.041667,13.79,13.916667,13.887939,10476000
2017-03-01,14.16,14.433333,14.093333,14.366667,14.337009,15813600
2017-03-02,14.36,14.36,14.093333,14.14,14.110811,10729800
2017-03-03,14.106667,14.233333,13.998333,14.213333,14.183993,8661600
2017-03-06,14.06,14.193333,13.951667,14.115,14.085863,9693600
2017-03-07,14.025,14.233333,13.978333,14.045,14.016007,8857200
2017-03-08,14.08,14.253333,14.031667,14.116667,14.087525,9663000
2017-03-09,14.113333,14.211667,13.928333,14.16,14.13077,11043000
2017-03-10,14.341667,14.393333,14.151667,14.315,14.28545,12864000
2017-03-13,14.301667,14.411667,14.288333,14.398333,14.36861,8470800
2017-03-14,14.3,14.321667,14.12,14.291667,14.262165,13255200
2017-03-15,14.39,14.653333,14.241667,14.541667,14.511648,15953400
2017-03-16,14.641667,14.641667,14.428333,14.533333,14.503332,9718800
2017-03-17,14.566667,14.625,14.49,14.498333,14.468406,8830200
2017-03-20,14.498333,14.645,14.433333,14.541667,14.511648,9174000
2017-03-21,14.703333,14.75,13.86,13.893333,13.864655,23392200
2017-03-22,13.901667,14.205,13.836667,14.166667,14.137424,17843400
2017-03-23,14.115,14.226667,13.986667,14.053333,14.024323,14766000
2017-03-24,14.186667,14.351667,13.98,14.13,14.100833,12921600
2017-03-27,13.841667,14.278333,13.738333,14.205,14.175677,18814800
